Date,Open,High,Low,Close
10/01/2018 15:45,1.19606,1.19609,1.19583,1.19594
10/01/2018 15:50,1.19592,1.19594,1.19566,1.19568
10/01/2018 15:55,1.19568,1.19584,1.1956,1.19568
10/01/2018 16:00,1.19567,1.19581,1.19556,1.19581
10/01/2018 16:05,1.1958,1.19581,1.19555,1.19556
10/01/2018 16:10,1.19555,1.19557,1.19551,1.19556
10/01/2018 16:15,1.19557,1.19563,1.19547,1.1955
10/01/2018 16:20,1.19551,1.19556,1.19541,1.19543
10/01/2018 16:25,1.19543,1.19543,1.19491,1.19501
10/01/2018 16:30,1.19498,1.19532,1.19498,1.19525
10/01/2018 16:35,1.19523,1.19523,1.19476,1.19484
10/01/2018 16:40,1.19485,1.19493,1.19477,1.19492
10/01/2018 16:45,1.1949,1.1951,1.19487,1.19505
10/01/2018 16:50,1.19506,1.19506,1.19484,1.19486
10/01/2018 16:55,1.19486,1.19491,1.19458,1.19458
10/01/2018 17:00,1.19456,1.19478,1.19456,1.19476
10/01/2018 17:05,1.19475,1.19489,1.19467,1.19481
10/01/2018 17:10,1.19484,1.19504,1.19477,1.195
10/01/2018 17:15,1.19499,1.19507,1.19498,1.19507
10/01/2018 17:20,1.19507,1.19522,1.1947,1.1949
10/01/2018 17:25,1.19491,1.19491,1.19475,1.19487
10/01/2018 17:30,1.19481,1.19489,1.19469,1.19485
10/01/2018 17:35,1.19485,1.1949,1.19466,1.19477
10/01/2018 17:40,1.19478,1.19486,1.19477,1.1948
10/01/2018 17:45,1.1948,1.19493,1.19477,1.19492
10/01/2018 17:50,1.19493,1.19493,1.19488,1.19492
10/01/2018 17:55,1.19493,1.19495,1.1949,1.19493
10/01/2018 18:00,1.19495,1.19513,1.19489,1.19513
10/01/2018 18:05,1.19514,1.19526,1.1951,1.19525
10/01/2018 18:10,1.19524,1.19536,1.19514,1.19521
10/01/2018 18:15,1.1952,1.19541,1.19514,1.19541
10/01/2018 18:20,1.1954,1.19541,1.19532,1.19532
10/01/2018 18:25,1.19537,1.19546,1.19535,1.19538
